SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,CATEGORY,TAXON_ORDER,COM_NAME_CODES,SCI_NAME_CODES,BANDING_CODES,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,REPORT_AS,EXTINCT,EXTINCT_YEAR,FAMILY_CODE
Struthio camelus,Common Ostrich,ostric2,species,2.0,COOS,STCA,,Struthioniformes,Ostriches,Struthionidae,,,,struth1
Struthio molybdophanes,Somali Ostrich,ostric3,species,7.0,SOOS,STMO,,Struthioniformes,Ostriches,Struthionidae,,,,struth1
Struthio camelus/molybdophanes,Common/Somali Ostrich,y00934,slash,8.0,SOOS COOS,STCA STMO,,Struthioniformes,Ostriches,Struthionidae,,,,struth1
Casuarius casuarius,Southern Cassowary,soucas1,species,10.0,SOCA,CACA,,Casuariiformes,Cassowaries and Emu,Casuariidae,,,,casuar1
Casuarius bennetti,Dwarf Cassowary,dwacas1,species,11.0,DWCA,CABE,,Casuariiformes,Cassowaries and Emu,Casuariidae,,,,casuar1
Casuarius unappendiculatus,Northern Cassowary,norcas1,species,14.0,NOCA,CAUN,,Casuariiformes,Cassowaries and Emu,Casuariidae,,,,casuar1
Dromaius novaehollandiae,Emu,emu1,species,15.0,EMU COEM,DRNO,,Casuariiformes,Cassowaries and Emu,Casuariidae,,,,casuar1
Apteryx australis,Southern Brown Kiwi,sobkiw1,species,21.0,SBKI,APAU,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Apteryx australis australis,Southern Brown Kiwi (South I.),sobkiw2,issf,22.0,SBKI,APAU,,Apterygiformes,Kiwis,Apterygidae,sobkiw1,,,aptery1
Apteryx australis lawryi,Southern Brown Kiwi (Stewart I.),sobkiw3,issf,23.0,SBKI,APAU,,Apterygiformes,Kiwis,Apterygidae,sobkiw1,,,aptery1
Apteryx rowi,Okarito Brown Kiwi,okbkiw1,species,24.0,OBKI OKKI,APRO,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Apteryx mantelli,North Island Brown Kiwi,nibkiw1,species,25.0,NIBK,APMA,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Apteryx australis x mantelli,Southern Brown x North Island Brown Kiwi (hybrid),x01217,hybrid,26.0,NIBK SBKI,APAU APMA,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Apteryx owenii,Little Spotted Kiwi,liskiw1,species,27.0,LSKI,APOW,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Apteryx rowi x owenii,Okarito Brown x Little Spotted Kiwi (hybrid),x01059,hybrid,28.0,OBKI LSKI OKKI,APOW APRO,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Apteryx maxima,Great Spotted Kiwi,grskiw1,species,29.0,GSKI,APMA,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Apteryx sp.,kiwi sp.,kiwi1,spuh,30.0,,,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Rhea americana,Greater Rhea,grerhe1,species,32.0,GRRH,RHAM,,Rheiformes,Rheas,Rheidae,,,,rheida1
Rhea pennata,Lesser Rhea,lesrhe2,species,38.0,LERH,RHPE,,Rheiformes,Rheas,Rheidae,,,,rheida1
Rhea pennata tarapacensis/garleppi,Lesser Rhea (Puna),lesrhe4,issf,39.0,LERH,RHPE,,Rheiformes,Rheas,Rheidae,lesrhe2,,,rheida1
Rhea pennata pennata,Lesser Rhea (Darwin's),lesrhe3,issf,42.0,LERH,RHPE,,Rheiformes,Rheas,Rheidae,lesrhe2,,,rheida1
Tinamotis pentlandii,Puna Tinamou,puntin1,species,44.0,PUTI,TIPE,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamotis ingoufi,Patagonian Tinamou,pattin1,species,45.0,PATI,TIIN,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,species,46.0,QCTI QUCT,EUFO,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Eudromia elegans,Elegant Crested-Tinamou,elctin1,species,49.0,ELCT ECTI,EUEL,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Eudromia elegans [intermedia Group],Elegant Crested-Tinamou (Northern),elecrt11,issf,50.0,ELCT ECTI,EUEL,,Tinamiformes,Tinamous,Tinamidae,elctin1,,,tinami1
Eudromia elegans [elegans Group],Elegant Crested-Tinamou (Southern),elecrt12,issf,54.0,ELCT ECTI,EUEL,,Tinamiformes,Tinamous,Tinamidae,elctin1,,,tinami1
Taoniscus nanus,Dwarf Tinamou,dwatin1,species,62.0,DWTI,TANA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothura boraquira,White-bellied Nothura,whbnot1,species,63.0,WBNO,NOBO,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothura minor,Lesser Nothura,lesnot1,species,64.0,LENO,NOMI,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothura darwinii,Darwin's Nothura,darnot1,species,65.0,DANO,NODA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothura maculosa,Spotted Nothura,sponot1,species,71.0,SPNO,NOMA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothura boraquira/maculosa,White-bellied/Spotted Nothura,y01225,slash,81.0,SPNO WBNO,NOMA NOBO,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothura minor/maculosa,Lesser/Spotted Nothura,y01226,slash,82.0,SPNO LENO,NOMA NOMI,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothura darwinii/maculosa,Darwin's/Spotted Nothura,y01375,slash,83.0,SPNO DANO,NOMA NODA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Rhynchotus maculicollis,Huayco Tinamou,huatin1,species,84.0,HUTI,RHMA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,species,85.0,RWTI,RHRU,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta cinerascens,Brushland Tinamou,brutin1,species,89.0,BRTI,NOCI,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta pentlandii,Andean Tinamou,andtin1,species,92.0,ANTI,NOPE,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta pentlandii [oustaleti Group],Andean Tinamou (Northern),andtin10,issf,93.0,ANTI,NOPE,,Tinamiformes,Tinamous,Tinamidae,andtin1,,,tinami1
Nothoprocta pentlandii [pentlandii Group],Andean Tinamou (Southern),andtin11,issf,97.0,ANTI,NOPE,,Tinamiformes,Tinamous,Tinamidae,andtin1,,,tinami1
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,species,103.0,CBTI,NOCU,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta ornata,Ornate Tinamou,orntin1,species,106.0,ORTI,NOOR,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta taczanowskii,Taczanowski's Tinamou,tactin1,species,110.0,TATI,NOTA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta perdicaria,Chilean Tinamou,chitin1,species,111.0,CHTI,NOPE,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta sp.,Nothoprocta sp.,nothop1,spuh,114.0,,,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,species,115.0,TBTI,NOJU,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,species,116.0,HOTI,NONI,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothocercus bonapartei,Highland Tinamou,higtin1,species,119.0,,NOBO,HITI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothocercus bonapartei frantzii,Highland Tinamou (Costa Rican),higtin3,issf,120.0,HITI,NOBO,,Tinamiformes,Tinamous,Tinamidae,higtin1,,,tinami1
Nothocercus bonapartei [bonapartei Group],Highland Tinamou (South American),higtin2,issf,121.0,HITI,NOBO,,Tinamiformes,Tinamous,Tinamidae,higtin1,,,tinami1
Tinamus major,Great Tinamou,gretin1,species,126.0,,TIMA,GRTI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus solitarius,Solitary Tinamou,soltin1,species,139.0,SOTI,TISO,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus tao,Gray Tinamou,grytin1,species,140.0,GRTI,TITA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus guttatus,White-throated Tinamou,whttin1,species,145.0,WTTI,TIGU,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus osgoodi,Black Tinamou,blatin1,species,146.0,BLTI,TIOS,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus osgoodi hershkovitzi,Black Tinamou (Colombian),blktin1,issf,147.0,BLTI,TIOS,,Tinamiformes,Tinamous,Tinamidae,blatin1,,,tinami1
Tinamus osgoodi osgoodi,Black Tinamou (Peruvian),blktin2,issf,148.0,BLTI,TIOS,,Tinamiformes,Tinamous,Tinamidae,blatin1,,,tinami1
Tinamus sp.,Tinamus sp.,tinamu1,spuh,149.0,,,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,species,150.0,BETI,CRBE,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus cinereus,Cinereous Tinamou,cintin1,species,151.0,CITI,CRCI,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus ptaritepui,Tepui Tinamou,teptin1,species,152.0,TETI,CRPT,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,species,153.0,SBTI,CRPA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus tataupa,Tataupa Tinamou,tattin1,species,154.0,TATI,CRTA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus obsoletus,Brown Tinamou,brotin1,species,159.0,BRTI,CROB,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus obsoletus cerviniventris/knoxi,Brown Tinamou (Venezuelan),brntin11,issf,160.0,BRTI,CROB,,Tinamiformes,Tinamous,Tinamidae,brotin1,,,tinami1
Crypturellus obsoletus castaneus,Brown Tinamou (Ecuadorian),brntin1,issf,163.0,BRTI,CROB,,Tinamiformes,Tinamous,Tinamidae,brotin1,,,tinami1
Crypturellus obsoletus [punensis Group],Brown Tinamou (Andean),brntin2,issf,164.0,BRTI,CROB,,Tinamiformes,Tinamous,Tinamidae,brotin1,,,tinami1
Crypturellus obsoletus griseiventris,Brown Tinamou (Amazonian),brntin8,issf,168.0,BRTI,CROB,,Tinamiformes,Tinamous,Tinamidae,brotin1,,,tinami1
