common_name,scientific_name
Large Grey Babbler,Argya malcolmi
Slender-billed Babbler,Argya longirostris
Rufous Babbler,Argya subrufa
Jungle Babbler,Argya striata
Yellow-billed Babbler,Argya affinis
Common Babbler,Argya caudata
Striated Babbler,Argya earlei
Spot-breasted Laughingthrush,Garrulax merulinus
Lesser Necklaced Laughingthrush,Garrulax monileger
White-crested Laughingthrush,Garrulax leucolophus
Rufous-chinned Laughingthrush,Ianthocincla rufogularis
Moustached Laughingthrush,Ianthocincla cineracea
Spotted Laughingthrush,Ianthocincla ocellata
Wayanad Laughingthrush,Pterorhinus delesserti
Rufous-vented Laughingthrush,Pterorhinus gularis
Yellow-throated Laughingthrush,Pterorhinus galbanus
Rufous-necked Laughingthrush,Pterorhinus ruficollis
Chestnut-backed Laughingthrush,Pterorhinus nuchalis
White-browed Laughingthrush,Pterorhinus sannio
Greater Necklaced Laughingthrush,Pterorhinus pectoralis
Mount Victoria Babax,Pterorhinus woodi
White-throated Laughingthrush,Pterorhinus albogularis
Grey-sided Laughingthrush,Pterorhinus caerulatus
Asian Fairy-bluebird,Irena puella
Goldcrest,Regulus regulus
Spotted Elachura,Elachura formosa
Eurasian Wren,Troglodytes troglodytes
White-cheeked Nuthatch,Sitta leucopsis
Beautiful Nuthatch,Sitta formosa
Velvet-fronted Nuthatch,Sitta frontalis
Yunnan Nuthatch,Sitta yunnanensis
White-tailed Nuthatch,Sitta himalayensis
Chestnut-vented Nuthatch,Sitta nagaensis
Kashmir Nuthatch,Sitta cashmirensis
Indian Nuthatch,Sitta castanea
Chestnut-bellied Nuthatch,Sitta cinnamoventris
Wallcreeper,Tichodroma muraria
Hodgson's Treecreeper,Certhia hodgsoni
Bar-tailed Treecreeper,Certhia himalayana
Rusty-flanked Treecreeper,Certhia nipalensis
Sikkim Treecreeper,Certhia discolor
Hume's Treecreeper,Certhia manipurensis
Indian Spotted Creeper,Salpornis spilonota
Asian Glossy Starling,Aplonis panayensis
Spot-winged Starling,Saroglossa spilopterus
Golden-crested Myna,Ampeliceps coronatus
Common Hill Myna,Gracula religiosa
Southern Hill Myna,Gracula indica
Great Myna,Acridotheres grandis
Jungle Myna,Acridotheres fuscus
Collared Myna,Acridotheres albocinctus
Bank Myna,Acridotheres ginginianus
Common Myna,Acridotheres tristis
Red-billed Starling,Spodiopsar sericeus
White-cheeked Starling,Spodiopsar cineraceus
Indian Pied Myna,Gracupica contra
Daurian Starling,Agropsar sturninus
Chestnut-cheeked Starling,Agropsar philippensis
White-shouldered Starling,Sturnia sinensis
Chestnut-tailed Starling,Sturnia malabarica
White-headed Starling,Sturnia erythropygia
Malabar Starling,Sturnia blythii
Brahminy Starling,Sturnia pagodarum
Rosy Starling,Pastor roseus
Common Starling,Sturnus vulgaris
Grandala,Grandala coelicolor
Purple Cochoa,Cochoa purpurea
Green Cochoa,Cochoa viridis
Long-tailed Thrush,Zoothera dixoni
Alpine Thrush,Zoothera mollissima
Himalayan Thrush,Zoothera salimalii
Long-billed Thrush,Zoothera monticola
Dark-sided Thrush,Zoothera marginata
White's Thrush,Zoothera aurea
Scaly Thrush,Zoothera dauma
Nilgiri Thrush,Zoothera neilgherriensis
Siberian Thrush,Geokichla sibirica
Pied Thrush,Geokichla wardii
Orange-headed Thrush,Geokichla citrina
Chinese Thrush,Turdus mupinensis
Song Thrush,Turdus philomelos
Mistle Thrush,Turdus viscivorus
Chinese Blackbird,Turdus mandarinus
Grey-winged Blackbird,Turdus boulboul
Indian Blackbird,Turdus simillimus
Tickell's Thrush,Turdus unicolor
Black-breasted Thrush,Turdus dissimilis
Japanese Thrush,Turdus cardis
Eyebrowed Thrush,Turdus obscurus
Grey-sided Thrush,Turdus feae
Tibetan Blackbird,Turdus maximus
White-backed Thrush,Turdus kessleri
Fieldfare,Turdus pilaris
Black-throated Thrush,Turdus atrogularis
Red-throated Thrush,Turdus ruficollis
Dusky Thrush,Turdus eunomus
Naumann's Thrush,Turdus naumanni
Chestnut Thrush,Turdus rubrocanus
White-collared Blackbird,Turdus albocinctus
Rufous-tailed Scrub Robin,Cercotrichas galactotes
Oriental Magpie-Robin,Copsychus saularis
Indian Robin,Copsychus fulicatus
Andaman Shama,Copsychus albiventris
White-crowned Shama,Copsychus stricklandii
White-rumped Shama,Copsychus malabaricus
Dark-sided Flycatcher,Muscicapa sibirica
Ferruginous Flycatcher,Muscicapa ferruginea
Brown-breasted Flycatcher,Muscicapa muttui
Asian Brown Flycatcher,Muscicapa dauurica
Spotted Flycatcher,Muscicapa striata
White-tailed Flycatcher,Leucoptilon concretum
Nilgiri Blue Robin,Sholicola major
White-bellied Blue Robin,Sholicola albiventris
Rufous-bellied Niltava,Niltava sundara
Chinese Vivid Niltava,Niltava oatesi
Small Niltava,Niltava macgrigoriae
Large Niltava,Niltava grandis
Blue-and-white Flycatcher,Cyanoptila cyanomelana
Zappey's Flycatcher,Cyanoptila cumatilis
Nilgiri Flycatcher,Eumyias albicaudatus
Verditer Flycatcher,Eumyias thalassinus
White-gorgeted Flycatcher,Anthipes monileger
Pale Blue Flycatcher,Cyornis unicolor
Blue-throated Blue Flycatcher,Cyornis rubeculoides
White-bellied Blue Flycatcher,Cyornis pallidipes
Nicobar Jungle Flycatcher,Cyornis nicobaricus
Large Blue Flycatcher,Cyornis magnirostris
Tickell's Blue Flycatcher,Cyornis tickelliae
Hill Blue Flycatcher,Cyornis whitei
Pale-chinned Blue Flycatcher,Cyornis poliogenys
Bluethroat,Luscinia svecica
White-bellied Redstart,Luscinia phaenicuroides
White-tailed Robin,Myiomela leucura
Firethroat,Calliope pectardens
Siberian Rubythroat,Calliope calliope
Himalayan Rubythroat,Calliope pectoralis
Chinese Rubythroat,Calliope tschebaiewi
Little Forktail,Enicurus scouleri
Black-backed Forktail,Enicurus immaculatus
Slaty-backed Forktail,Enicurus schistaceus
Spotted Forktail,Enicurus maculatus
White-crowned Forktail,Enicurus leschenaulti
Blue-fronted Robin,Cinclidium frontale
Blue Whistling Thrush,Myophonus caeruleus
Malabar Whistling Thrush,Myophonus horsfieldii
Himalayan Shortwing,Brachypteryx cruralis
Rusty-bellied Shortwing,Brachypteryx hyperythra
Lesser Shortwing,Brachypteryx leucophris
Siberian Blue Robin,Larvivora cyane
Indian Blue Robin,Larvivora brunnea
Yellow-rumped Flycatcher,Ficedula zanthopygia
Slaty-blue Flycatcher,Ficedula tricolor
Snowy-browed Flycatcher,Ficedula hyperythra
Mugimaki Flycatcher,Ficedula mugimaki
Slaty-backed Flycatcher,Ficedula erithacus
Pygmy Flycatcher,Ficedula hodgsoni
Rufous-gorgeted Flycatcher,Ficedula strophiata
Sapphire Flycatcher,Ficedula sapphira
Ultramarine Flycatcher,Ficedula superciliaris
Little Pied Flycatcher,Ficedula westermanni
Rusty-tailed Flycatcher,Ficedula ruficauda
Kashmir Flycatcher,Ficedula subrubra
Red-breasted Flycatcher,Ficedula parva
Taiga Flycatcher,Ficedula albicilla
Black-and-orange Flycatcher,Ficedula nigrorufa
White-browed Bush Robin,Tarsiger indicus
Golden Bush Robin,Tarsiger chrysaeus
Rufous-breasted Bush Robin,Tarsiger hyperythrus
Red-flanked Bluetail,Tarsiger cyanurus
Himalayan Bluetail,Tarsiger rufilatus
Gould's Shortwing,Heteroxenicus stellatus
Eversmann's Redstart,Phoenicurus erythronotus
Blue-fronted Redstart,Phoenicurus frontalis
Blue-capped Redstart,Phoenicurus coeruleocephala
White-throated Redstart,Phoenicurus schisticeps
Plumbeous Water Redstart,Phoenicurus fuliginosus
White-capped Redstart,Phoenicurus leucocephalus
Black Redstart,Phoenicurus ochruros
Common Redstart,Phoenicurus phoenicurus
Daurian Redstart,Phoenicurus auroreus
Hodgson's Redstart,Phoenicurus hodgsoni
Güldenstädt's Redstart,Phoenicurus erythrogastrus
Blue-capped Rock Thrush,Monticola cinclorhyncha
Chestnut-bellied Rock Thrush,Monticola rufiventris
Common Rock Thrush,Monticola saxatilis
Blue Rock Thrush,Monticola solitarius
Jerdon's Bush Chat,Saxicola jerdoni
Grey Bush Chat,Saxicola ferreus
Whinchat,Saxicola rubetra
White-browed Bush Chat,Saxicola macrorhynchus
Pied Bush Chat,Saxicola caprata
White-throated Bush Chat,Saxicola insignis
White-tailed Stonechat,Saxicola leucurus
Amur Stonechat,Saxicola stejnegeri
Siberian Stonechat,Saxicola maurus
Northern Wheatear,Oenanthe oenanthe
Isabelline Wheatear,Oenanthe isabellina
Desert Wheatear,Oenanthe deserti
Pied Wheatear,Oenanthe pleschanka
Brown Rock Chat,Oenanthe fusca
Variable Wheatear,Oenanthe picata
Finsch's Wheatear,Oenanthe finschii
Red-tailed Wheatear,Oenanthe chrysopygia
Hume's Wheatear,Oenanthe albonigra
White-throated Dipper,Cinclus cinclus
Brown Dipper,Cinclus pallasii
Blue-winged Leafbird,Chloropsis moluccensis
Jerdon's Leafbird,Chloropsis jerdoni
Golden-fronted Leafbird,Chloropsis aurifrons
Orange-bellied Leafbird,Chloropsis hardwickii
Thick-billed Flowerpecker,Dicaeum agile
Yellow-vented Flowerpecker,Dicaeum chrysorrheum
Yellow-bellied Flowerpecker,Dicaeum melanozanthum
Pale-billed Flowerpecker,Dicaeum erythrorhynchos
Nilgiri Flowerpecker,Dicaeum concolor
Plain Flowerpecker,Dicaeum minullum
